;;;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Benzin;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Diesel;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Gas;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Elektro;Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Hybrid (ohne Plug-in);Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Plug-in-Hybrid;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Sonstige Kraftstoffarten;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt;Euro 1;Euro 2;Euro 3;Euro 4;Euro 5;Euro 6 (ohne 6d und 6d-temp);Euro 6d-temp;Euro 6d;Sonstige;Insgesamt
01.01.2022;03251;Diepholz, Landkreis;994;4813;4563;26985;20023;19307;8803;2682;2017;90187;195;1436;3831;7017;16136;12769;3944;1390;513;47231;11;127;139;613;220;130;67;35;15;1357;-;-;-;-;-;-;-;-;1670;1670;-;1;-;23;191;442;794;1136;1;2588;-;-;-;-;12;66;278;919;1;1276;-;-;-;11;16;1;-;-;4;32;1200;6377;8533;34649;36598;32715;13886;6162;4221;144341
01.01.2022;03252;Hameln-Pyrmont, Landkreis;991;4061;3412;18180;13112;13004;5879;1674;2602;62915;155;935;2394;4216;8914;6864;2293;600;444;26815;10;71;85;377;138;83;58;30;6;858;-;-;-;-;-;-;-;-;1038;1038;-;-;-;18;138;194;466;656;-;1472;-;-;-;-;6;64;180;478;-;728;-;-;-;8;10;-;-;-;-;18;1156;5067;5891;22799;22318;20209;8876;3438;4090;93844
01.01.2022;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2022;03254;Hildesheim, Landkreis;1217;5876;4945;30827;24084;24879;11649;3129;2274;108880;246;1512;3623;6697;15751;13036;4695;1243;483;47286;9;112;131;617;247;135;91;35;12;1389;-;-;-;-;-;-;-;-;1772;1772;-;-;-;42;238;439;813;1156;-;2688;-;-;-;-;12;105;297;1016;-;1430;-;-;-;12;13;-;-;-;4;29;1472;7500;8699;38195;40345;38594;17545;6579;4545;163474
01.01.2022;03255;Holzminden, Landkreis;530;1925;1575;8280;6001;6545;3183;911;1153;30103;96;455;1185;2043;4237;3699;1254;448;205;13622;2;42;49;221;67;55;15;15;9;475;-;-;-;-;-;-;-;-;407;407;-;-;-;9;28;72;184;248;-;541;-;-;-;-;1;22;57;277;-;357;-;-;-;5;4;-;-;-;-;9;628;2422;2809;10558;10338;10393;4693;1899;1774;45514
01.01.2022;03256;Nienburg (Weser), Landkreis;624;3454;2720;15231;10444;9300;4166;1151;1106;48196;132;928;2403;4289;9355;6981;2080;527;306;27001;4;102;84;429;151;93;53;27;12;955;1;-;-;-;-;-;-;-;933;934;-;1;-;17;122;316;359;625;-;1440;-;-;-;-;5;57;120;376;-;558;-;-;-;4;9;-;-;-;2;15;761;4485;5207;19970;20086;16747;6778;2706;2359;79099
01.01.2022;03257;Schaumburg, Landkreis;933;4463;3738;20164;14710;14372;6552;1799;1976;68707;139;997;2558;4559;10087;8055;2547;679;340;29961;10;101;107;511;186;78;52;41;20;1106;-;-;-;-;-;-;-;-;1368;1368;-;-;1;20;108;340;491;834;-;1794;-;-;-;-;8;74;132;553;-;767;-;-;-;5;11;-;-;-;3;19;1082;5561;6404;25259;25110;22919;9774;3906;3707;103722
01.01.2022;03351;Celle, Landkreis;767;4378;3630;20307;14958;14568;7322;1923;1462;69315;193;1202;3095;5388;12581;10115;3843;929;408;37754;7;92;111;435;183;77;28;36;10;979;-;-;-;-;-;-;-;-;1176;1176;-;-;-;22;93;225;587;746;-;1673;-;-;-;-;8;77;229;674;-;988;-;-;-;10;11;1;-;-;2;24;967;5672;6836;26162;27834;25063;12009;4308;3058;111909
01.01.2022;03352;Cuxhaven, Landkreis;805;4219;4012;23281;16916;17179;8349;2188;1840;78789;189;1493;3778;6633;15260;12046;3379;884;415;44077;4;109;110;580;275;262;79;24;8;1451;-;-;-;-;-;-;-;-;1076;1076;-;-;-;30;150;388;622;943;1;2134;-;-;-;-;9;67;187;529;1;793;-;-;-;6;19;-;-;-;3;28;998;5821;7900;30530;32629;29942;12616;4568;3344;128348
01.01.2022;03353;Harburg, Landkreis;1277;5228;4300;26891;22783;24363;12357;3748;3427;104374;347;1878;4342;7102;18373;16213;6081;1600;756;56692;7;104;117;479;306;184;96;59;24;1376;-;-;-;-;-;-;-;-;2346;2346;-;-;1;65;244;703;1062;1677;-;3752;-;-;-;-;13;145;328;1271;-;1757;-;-;-;12;23;1;-;-;6;42;1631;7210;8760;34549;41742;41609;19924;8355;6559;170339
01.01.2022;03354;Lüchow-Dannenberg, Landkreis;282;1500;1175;5934;3708;3153;1457;374;401;17984;90;664;1389;2072;3920;2695;808;212;210;12060;5;29;45;237;147;78;49;25;5;620;-;-;-;-;-;-;-;-;317;317;-;-;-;13;30;58;95;114;-;310;-;-;-;-;2;13;70;137;-;222;-;-;-;-;2;-;-;-;-;2;377;2193;2609;8256;7809;5997;2479;862;933;31515
01.01.2022;03355;Lüneburg, Landkreis;702;3300;2980;18116;14137;14791;7183;2535;1582;65326;219;1301;3006;4963;11927;9672;3709;959;421;36177;8;80;76;333;158;91;58;39;17;860;-;-;-;-;-;-;-;-;1491;1491;-;-;-;23;128;320;501;775;1;1748;-;-;-;-;8;68;236;864;-;1176;-;-;-;6;9;-;-;-;-;15;929;4681;6062;23441;26367;24942;11687;5172;3512;106793
01.01.2022;03356;Osterholz, Landkreis;515;2548;2410;14104;10540;10571;4826;1281;972;47767;121;756;1889;3312;7916;6562;1931;606;230;23323;4;95;80;395;147;91;34;20;10;876;-;-;-;-;-;-;-;-;891;891;-;-;-;13;71;151;306;397;-;938;-;-;-;-;4;45;125;467;-;641;-;-;1;4;10;-;-;-;1;16;640;3399;4380;17828;18688;17420;7222;2771;2104;74452
01.01.2022;03357;Rotenburg (Wümme), Landkreis;731;4010;3042;19831;13784;12635;6007;1910;1320;63270;160;1494;3538;6288;14771;12919;5259;2401;398;47228;4;114;91;460;223;114;65;35;14;1120;-;-;-;-;-;-;-;-;1298;1298;-;-;-;29;113;314;508;971;-;1935;-;-;-;-;4;59;183;680;-;926;-;-;-;5;13;-;-;-;-;18;895;5618;6671;26613;28908;26041;12022;5997;3030;115795
01.01.2022;03358;Heidekreis;732;3402;2842;16483;11250;10452;5020;1352;2067;53600;158;1074;2770;4807;11150;9114;2698;732;410;32913;6;103;103;392;197;85;49;17;8;960;-;-;-;-;-;-;-;-;849;849;-;-;1;24;48;131;408;550;-;1162;-;-;-;-;2;57;171;458;-;688;-;-;-;1;8;1;1;-;3;14;896;4579;5716;21707;22655;19840;8347;3109;3337;90186
